FACILITY,SampleDate,Time,SPCODE,LGT,ADCLIP,Size Race,CWT_Race,DNA_Race,CATCH,SALVAGE,LOSS
2,12/9/2021,14:00,1,233,N,F,,F,1,4,3.88
2,12/17/2021,8:00,1,205,C,F,,,1,4,2.6
2,12/19/2021,12:00,1,132,N,W,,F,1,4,2.6
2,12/19/2021,12:00,1,178,C,LF,LF,,1,4,2.6
2,12/19/2021,14:00,1,172,C,LF,,,1,4,2.6
2,12/24/2021,8:00,1,153,C,LF,,,1,4,3.52
2,12/25/2021,12:00,1,130,N,W,,F,1,4,3.52
2,12/25/2021,12:00,1,158,C,LF,,,1,4,3.52
2,12/25/2021,12:00,1,163,C,LF,,,1,4,3.52
2,12/25/2021,18:00,1,165,C,LF,LF,,1,4,3.52
2,12/26/2021,6:00,1,180,C,LF,,,1,4,3.52
2,12/26/2021,18:00,1,169,C,LF,LF,,1,4,3.52
2,12/26/2021,20:00,1,175,C,LF,LF,,1,4,3.52
2,12/27/2021,8:00,1,156,C,LF,LF,,1,4,3.52
1,12/27/2021,15:00,1,183,C,LF,LF,,1,4,17.49
1,12/27/2021,15:30,1,146,C,W,LF,,1,1,4.33
1,12/27/2021,15:30,1,152,C,LF,LF,,1,1,4.33
1,12/27/2021,15:30,1,153,C,LF,LF,,1,1,4.33
1,12/27/2021,15:30,1,156,C,LF,LF,,1,1,4.33
1,12/27/2021,15:30,1,159,C,LF,,,1,1,4.33
2,12/27/2021,18:00,1,170,C,LF,LF,,1,4,3.52
2,12/28/2021,4:00,1,152,C,LF,LF,,1,4,3.52
2,12/28/2021,6:00,1,163,C,LF,LF,,1,4,3.52
2,12/28/2021,6:00,1,165,C,LF,LF,,1,4,3.52
1,12/28/2021,13:30,1,146,C,W,LF,,1,1,4.33
1,12/28/2021,13:30,1,167,C,LF,LF,,1,1,4.33
1,12/28/2021,13:30,1,168,C,LF,LF,,1,1,4.33
1,12/28/2021,13:30,1,170,C,LF,LF,,1,1,4.33
1,12/28/2021,13:30,1,178,C,LF,LF,,1,1,4.33
1,12/28/2021,13:30,1,180,C,LF,LF,,1,1,4.33
1,12/28/2021,13:30,1,183,C,LF,LF,,1,1,4.33
2,12/29/2021,2:00,1,180,C,LF,LF,,1,4,3.19
2,12/29/2021,10:00,1,160,C,LF,LF,,1,4,3.19
1,12/30/2021,13:00,1,193,C,LF,LF,,1,4,17.44
1,12/30/2021,13:00,1,200,C,F,LF,,1,4,17.44
1,12/30/2021,14:00,1,157,C,LF,LF,,1,2,8.71
1,12/30/2021,14:00,1,185,N,LF,,F,1,2,8.71
1,12/30/2021,14:30,1,150,C,W,LF,,1,1,4.33
1,12/30/2021,14:30,1,151,C,W,LF,,1,1,4.33
1,12/30/2021,14:30,1,160,C,LF,LF,,1,1,4.33
1,12/30/2021,14:30,1,161,C,LF,LF,,1,1,4.33
1,12/30/2021,14:30,1,170,C,LF,LF,,1,1,4.33
2,12/30/2021,18:00,1,133,C,W,LF,,1,4,3.19
2,12/30/2021,18:00,1,142,C,W,LF,,1,4,3.19
2,12/30/2021,18:00,1,146,C,W,LF,,1,4,3.19
2,12/30/2021,18:00,1,165,C,LF,LF,,1,4,3.19
2,12/30/2021,18:00,1,170,C,LF,LF,,1,4,3.19
2,12/30/2021,23:59,1,173,C,LF,LF,,1,4,3.19
2,12/31/2021,4:00,1,156,C,LF,LF,,1,4,3.19
2,12/31/2021,4:00,1,161,C,LF,LF,,1,4,3.19
2,12/31/2021,8:00,1,208,C,F,,,1,4,3.19
2,12/31/2021,14:00,1,148,C,W,LF,,1,4,3.19
2,12/31/2021,14:00,1,155,C,LF,LF,,1,4,3.19
1,12/31/2021,14:30,1,134,C,W,LF,,1,1,4.33
1,12/31/2021,14:30,1,173,C,LF,LF,,1,1,4.33
2,12/31/2021,18:00,1,190,C,LF,,,1,4,3.19
2,12/31/2021,22:00,1,128,N,W,,F,1,4,3.19
2,12/31/2021,23:59,1,135,C,W,LF,,1,4,3.19
2,1/1/2022,2:00,1,146,C,W,LF,,1,4,3.52
2,1/1/2022,6:00,1,174,N,LF,,F,1,4,3.52
1,1/1/2022,11:00,1,188,C,LF,LF,,1,4,17.4
1,1/1/2022,16:30,1,136,C,W,LF,,1,1,4.33
1,1/1/2022,16:30,1,162,C,LF,LF,,1,1,4.33
1,1/1/2022,16:30,1,169,C,LF,LF,,1,1,4.33
1,1/1/2022,16:30,1,172,C,LF,LF,,1,1,4.33
1,1/1/2022,16:30,1,174,C,LF,LF,,1,1,4.33
1,1/1/2022,16:30,1,184,C,LF,LF,,1,1,4.33
2,1/2/2022,8:00,1,142,C,W,LF,,1,4,3.52
1,1/2/2022,9:00,1,163,C,LF,LF,,1,4,17.49
1,1/2/2022,9:00,1,199,C,LF,LF,,1,4,17.49
2,1/2/2022,10:00,1,207,C,F,,,1,4,3.52
2,1/2/2022,14:00,1,150,C,W,LF,,1,4,3.52
2,1/2/2022,14:00,1,155,C,W,LF,,1,4,3.52
1,1/2/2022,18:30,1,140,C,W,LF,,1,1,4.33
1,1/2/2022,18:30,1,166,C,LF,LF,,1,1,4.33
1,1/2/2022,18:30,1,167,C,LF,LF,,1,1,4.33
1,1/2/2022,18:30,1,181,C,LF,,,1,1,4.33
1,1/2/2022,18:30,1,195,C,LF,LF,,1,1,4.33
2,1/3/2022,2:00,1,169,C,LF,LF,,1,4,2.88
2,1/3/2022,2:00,1,187,C,LF,LF,,1,4,2.88
2,1/3/2022,2:00,1,197,C,LF,LF,,1,4,2.88
2,1/3/2022,2:00,1,205,C,F,,,1,4,2.88
2,1/3/2022,2:00,1,207,C,F,,,1,4,2.88
2,1/3/2022,2:00,1,213,C,F,,,1,4,2.88
2,1/3/2022,2:00,1,217,C,F,,,1,4,2.88
2,1/3/2022,6:00,1,153,C,W,LF,,1,4,2.88
2,1/3/2022,8:00,1,146,C,W,LF,,1,4,2.88
2,1/3/2022,10:00,1,127,C,W,LF,,1,4,2.88
2,1/3/2022,10:00,1,166,C,LF,LF,,1,4,2.88
2,1/3/2022,10:00,1,173,C,LF,LF,,1,4,2.88
2,1/3/2022,12:00,1,140,C,W,LF,,1,4,2.88
2,1/3/2022,14:00,1,157,C,W,LF,,1,4,2.88
2,1/3/2022,14:00,1,166,C,LF,LF,,1,4,2.88
2,1/3/2022,14:00,1,169,C,LF,LF,,1,4,2.88
2,1/3/2022,14:00,1,176,C,LF,LF,,1,4,2.88
2,1/3/2022,14:00,1,203,C,LF,,,1,4,2.88
2,1/3/2022,16:00,1,130,C,W,LF,,1,4,2.88
2,1/3/2022,16:00,1,146,C,W,LF,,1,4,2.88
2,1/3/2022,16:00,1,148,C,W,LF,,1,4,2.88
2,1/3/2022,16:00,1,153,C,W,,,1,4,2.88
2,1/3/2022,16:00,1,158,C,LF,LF,,1,4,2.88
2,1/3/2022,16:00,1,160,C,LF,LF,,2,8,5.76
2,1/3/2022,16:00,1,171,C,LF,LF,,1,4,2.88
2,1/3/2022,16:00,1,193,C,LF,,,1,4,2.88
2,1/3/2022,18:00,1,185,C,LF,LF,,1,4,2.88
1,1/3/2022,19:00,1,157,C,W,LF,,1,4,17.44
1,1/3/2022,19:00,1,184,C,LF,LF,,1,4,17.44
2,1/3/2022,22:00,1,145,C,W,LF,,1,4,2.88
2,1/4/2022,6:00,1,163,C,LF,LF,,1,4,2.88
1,1/4/2022,7:45,1,146,C,W,LF,,1,1,4.33
1,1/4/2022,7:45,1,195,C,LF,,,1,1,4.33
2,1/4/2022,8:00,1,163,C,LF,LF,,1,4,2.88
2,1/4/2022,16:00,1,158,C,W,LF,,1,4,2.88
2,1/4/2022,16:00,1,159,C,LF,LF,,1,4,2.88
2,1/4/2022,18:00,1,153,C,W,LF,,1,4,2.88
2,1/4/2022,18:00,1,158,C,W,LF,,1,4,2.88
2,1/4/2022,18:00,1,163,C,LF,LF,,1,4,2.88
2,1/4/2022,18:00,1,172,C,LF,LF,,1,4,2.88
2,1/4/2022,18:00,1,193,C,LF,LF,,1,4,2.88
2,1/4/2022,20:00,1,140,C,W,LF,,1,4,2.88
2,1/4/2022,20:00,1,177,C,LF,LF,,1,4,2.88
2,1/4/2022,22:00,1,162,C,LF,LF,,1,4,2.88
2,1/5/2022,2:00,1,148,C,W,LF,,1,4,2.88
2,1/5/2022,2:00,1,175,C,LF,LF,,1,4,2.88
2,1/5/2022,2:00,1,180,C,LF,LF,,1,4,2.88
2,1/5/2022,4:00,1,173,C,LF,LF,,1,4,2.88
2,1/5/2022,4:00,1,180,C,LF,LF,,1,4,2.88
1,1/5/2022,7:00,1,187,C,LF,LF,,1,4,17.59
2,1/5/2022,10:00,1,167,C,LF,LF,,1,4,2.88
2,1/5/2022,10:00,1,213,C,F,,,1,4,2.88
2,1/5/2022,14:00,1,164,C,LF,LF,,1,4,2.88
2,1/5/2022,16:00,1,118,C,W,LF,,1,4,2.88
2,1/5/2022,18:00,1,153,C,W,LF,,1,4,2.88
2,1/5/2022,18:00,1,154,C,W,LF,,1,4,2.88
2,1/5/2022,18:00,1,161,C,LF,LF,,1,4,2.88
2,1/5/2022,18:00,1,180,C,LF,LF,,1,4,2.88
2,1/5/2022,18:00,1,182,C,LF,LF,,1,4,2.88
2,1/5/2022,18:00,1,187,C,LF,LF,,1,4,2.88
2,1/5/2022,20:00,1,147,C,W,LF,,1,4,2.88
2,1/5/2022,22:00,1,131,C,W,LF,,1,4,2.88
2,1/5/2022,22:00,1,147,C,W,LF,,1,4,2.88
2,1/5/2022,22:00,1,152,C,W,LF,,1,4,2.88
2,1/6/2022,2:00,1,149,C,W,LF,,1,4,2.88
2,1/6/2022,2:00,1,160,C,W,LF,,1,4,2.88
2,1/6/2022,2:00,1,167,C,LF,LF,,1,4,2.88
1,1/6/2022,7:00,1,159,C,W,LF,,1,4,17.52
2,1/6/2022,8:00,1,206,C,LF,,,1,4,2.88
1,1/6/2022,13:45,1,159,C,W,LF,,1,1,4.33
1,1/6/2022,13:45,1,169,C,LF,LF,,1,1,4.33
1,1/6/2022,13:45,1,178,C,LF,,,1,1,4.33
2,1/6/2022,14:00,1,141,C,W,LF,,1,4,2.6
2,1/6/2022,14:00,1,165,C,LF,LF,,1,4,2.6
2,1/6/2022,16:00,1,180,C,LF,LF,,1,4,2.6
2,1/6/2022,18:00,1,169,C,LF,LF,,1,4,2.6
2,1/6/2022,18:00,1,190,C,LF,LF,,1,4,2.6
2,1/6/2022,22:00,1,143,C,W,LF,,1,4,2.6
2,1/6/2022,23:59,1,126,C,W,LF,,1,4,2.6
2,1/7/2022,2:00,1,170,C,LF,LF,,2,8,5.21
2,1/7/2022,2:00,1,180,C,LF,LF,,1,4,2.6
2,1/7/2022,8:00,1,141,C,W,LF,,1,3.33,2.17
2,1/7/2022,10:00,1,158,C,W,LF,,1,4,2.6
2,1/7/2022,12:00,1,145,C,W,LF,,1,4,2.6
1,1/7/2022,13:00,1,160,C,W,LF,,1,4,17.59
2,1/7/2022,16:00,1,123,N,W,,F,1,4,2.6
1,1/7/2022,16:45,1,154,C,W,LF,,1,1,4.33
1,1/7/2022,16:45,1,164,C,LF,LF,,1,1,4.33
2,1/7/2022,22:00,1,130,N,W,,S,1,4,2.6
2,1/7/2022,22:00,1,172,C,LF,LF,,1,4,2.6
2,1/7/2022,23:59,1,150,C,W,LF,,1,4,2.6
2,1/8/2022,2:00,1,168,C,LF,LF,,1,4,2.6
2,1/8/2022,6:00,1,184,C,LF,LF,,1,4,2.6
2,1/8/2022,10:00,1,137,C,W,LF,,1,4,2.6
2,1/8/2022,14:00,1,144,C,W,LF,,1,4,2.6
2,1/9/2022,2:00,1,175,C,LF,LF,,1,4,2.6
2,1/9/2022,10:00,1,143,C,W,LF,,1,4,2.6
2,1/9/2022,10:00,1,145,C,W,LF,,1,4,2.6
2,1/9/2022,14:00,1,166,C,LF,LF,,1,4,2.6
2,1/9/2022,14:00,1,193,C,LF,LF,,1,4,2.6
1,1/9/2022,15:45,1,132,C,W,LF,,1,1,4.33
2,1/9/2022,16:00,1,148,C,W,LF,,1,4,2.6
2,1/9/2022,16:00,1,155,C,W,LF,,1,4,2.6
2,1/9/2022,18:00,1,130,C,W,LF,,1,4,2.6
2,1/9/2022,18:00,1,135,N,W,,F,1,4,2.6
2,1/10/2022,10:00,1,151,C,W,LF,,1,4,2.6
2,1/10/2022,12:00,1,210,C,LF,,,1,4,2.6
2,1/11/2022,2:00,1,210,C,LF,,,1,4,2.6
1,1/11/2022,15:00,1,169,C,LF,LF,,1,4,17.46
1,1/11/2022,16:00,1,142,C,W,LF,,1,2,8.73
2,1/11/2022,18:00,1,202,C,LF,LF,,1,4,2.6
1,1/12/2022,16:45,1,168,C,W,LF,,1,1,4.33
1,1/12/2022,16:45,1,185,C,LF,LF,,1,1,4.33
2,1/12/2022,22:00,1,153,C,W,,,1,4,2.6
2,1/13/2022,20:00,1,172,C,LF,LF,,1,4,2.6
2,1/14/2022,22:00,1,187,C,LF,LF,,1,4,2.6
2,1/15/2022,8:00,1,156,C,W,LF,,1,8,5.21
2,1/16/2022,12:00,1,147,C,W,LF,,1,4,2.6
2,1/16/2022,18:00,1,166,C,W,LF,,1,4,2.6
2,1/16/2022,20:00,1,147,C,W,LF,,1,4,2.6
1,1/17/2022,16:45,1,142,C,W,LF,,1,1,4.33
2,1/17/2022,22:00,1,131,C,W,LF,,1,4,2.6
2,1/18/2022,22:00,1,172,C,W,LF,,1,4,2.6
2,1/18/2022,22:00,1,175,C,W,LF,,1,4,2.6
2,1/20/2022,20:00,1,161,C,W,LF,,1,4,2.6
2,1/22/2022,12:00,1,146,C,W,LF,,1,4,2.6
2,1/24/2022,14:00,1,157,C,W,LF,,1,4,2.6
2,1/27/2022,18:00,1,163,C,W,LF,,1,4,2.88
2,1/27/2022,18:00,1,190,C,W,LF,,1,4,2.88
2,1/28/2022,9:00,1,175,C,W,LF,,1,1,0.57
2,1/28/2022,9:00,1,215,C,LF,,,1,1,0.57
2,1/28/2022,20:00,1,136,N,W,,,1,4,2.88
1,2/3/2022,8:00,1,165,C,W,LF,,1,2,8.73
1,2/6/2022,13:00,1,175,C,W,LF,,1,4,17.5
1,2/6/2022,16:30,1,170,C,W,LF,,1,1,4.33
1,2/6/2022,16:30,1,171,C,W,LF,,1,1,4.33
2,2/7/2022,4:00,1,34,N,F,,,1,4,3.01
1,2/8/2022,17:00,1,171,C,W,LF,,1,4,17.42
2,2/8/2022,23:59,1,37,N,F,,,1,4,3.01
2,2/9/2022,8:00,1,37,N,F,,,1,4,3.01
2,2/9/2022,23:59,1,36,N,F,,,1,4,3.01
2,2/10/2022,2:00,1,34,N,F,,,1,4,3.01
2,2/10/2022,4:00,1,33,N,F,,,1,4,3.01
2,2/11/2022,22:00,1,38,N,F,,,1,4,3.01
1,2/14/2022,16:45,1,141,C,W,LF,,1,1,4.33
1,2/14/2022,16:45,1,232,C,LF,,,1,1,4.33
